Timestamp,What type of smartphone you use?,What type of bank accounts and services you currently engage with? Select all that applies.,How many Mobile Banking Apps currently setup in your smartphone?,How long have you been using Mobile Banking Apps in your smartphone? (Answer in years),"On average, how often do you use Mobile Banking Apps in your smartphone?",What are the tasks that you do using Mobile Banking Apps setup in your smartphone?,What are the types of bills you pay with your Mobile Banking Apps? Select all that applies.,What tasks you do with your Mobile Banking Apps related to credit cards? Select all that applies.,What tasks you do with your Mobile Banking Apps related to fixed deposits? Select all that applies.,What is your experience on the extent of the ease of use of Mobile Banking Apps?,How do you feel about the security of using Mobile Banking Apps?,How satisfied are you with your overall usage of Mobile Banking Apps?,How likely is to recommend the usage of Mobile Banking Apps to your friends and colleagues?,Gender,Age (in years),Closest city,Current Job,"How long have you been working? (including the time for previous jobs, if any). Answer in years.",Education up to ?,Which of the following social media sites that you visit most?,"On average how, much time do you spend on social media daily?"
12/11/2020 21:16:12,Android,Savings accounts,4,3,Several Times a month,"Checking savings account balance, Transferirng money to other accounts, Paying bills (Eg. Mobile reload, Phone, Electricity, Water bills etc)","Mobile/Telephone bills, Electricity bills",I don’t engage in credit card related tasks using Mobile Banking Apps,I don’t engage in fixed deposit related tasks using Mobile Banking Apps,2,2,2,1,Male,28,Ratnapura,Surveying Field Assistant (Dept. of Surveying),1,After O/L Diploma,"Facebook, YouTube, Instagram, Whatsapp",4 hours or more
12/11/2020 21:19:51,Android,Savings accounts,1,3,Several Times a month,"Checking savings account balance, Transferirng money to other accounts, Paying bills (Eg. Mobile reload, Phone, Electricity, Water bills etc)","Mobile/Telephone bills, Internet bills, Electricity bills, Water bills",I don’t engage in credit card related tasks using Mobile Banking Apps,I don’t engage in fixed deposit related tasks using Mobile Banking Apps,5,2,2,2,Male,30,Nivithigala,Irrigation Engineer,3,Bachelor’s Degree,Facebook,Less than 1 hour
13/11/2020 18:28:42,Android,"Savings accounts, Fixed Deposits",1,3,Several Times a month,Checking savings account balance,I don’t pay my bills using Mobile Banking Apps,I don’t engage in credit card related tasks using Mobile Banking Apps,I don’t engage in fixed deposit related tasks using Mobile Banking Apps,3,3,4,5,Female,28,Pelmadulla ,Coordinator ,3,Master’s Degree,"LinkedIn, Facebook, YouTube, Twitter, Whatsapp",4 hours or more
13/11/2020 18:28:58,Apple,"Savings accounts, Current Accounts, Credit Cards, Loans",5,3,Daily,"Checking savings account balance, Transferirng money to other accounts",I don’t pay my bills using Mobile Banking Apps,I don’t engage in credit card related tasks using Mobile Banking Apps,I don’t engage in fixed deposit related tasks using Mobile Banking Apps,5,5,5,5,Male,28,Colombo,"Support Engineer , Enterprise Tools",4,Bachelor’s Degree,"LinkedIn, Facebook, YouTube, Instagram, Whatsapp",4 hours or more
13/11/2020 18:59:51,Android,"Savings accounts, Fixed Deposits, Credit Cards, Loans",1,7,Daily,"Checking savings account balance, Checking credit card statement, Transferirng money to other accounts, Paying bills (Eg. Mobile reload, Phone, Electricity, Water bills etc), Checking loan balance","Mobile/Telephone bills, Internet bills, Electricity bills, Water bills","To check my credit card balance, To settle my credit card balance, To check for credit card promotions",To view my existing fixed deposits,5,5,5,5,Male,28,Ratnapura,Banking Assistant,7,G.C.E. (A/L),"LinkedIn, Facebook, YouTube, Instagram, Twitter, Whatsapp, Viber",2 hours
13/11/2020 19:08:47,Android,Credit Cards,1,1,Several Times a month,"Checking savings account balance, Checking credit card statement",I don’t pay my bills using Mobile Banking Apps,To check my credit card balance,I don’t engage in fixed deposit related tasks using Mobile Banking Apps,5,5,4,3,Female,28,Colombo,AG office,3,Bachelor’s Degree,"Facebook, YouTube, Whatsapp",2 hours
13/11/2020 19:23:09,Apple,Savings accounts,2,2,Weekly,"Checking savings account balance, Transferirng money to other accounts, Paying bills (Eg. Mobile reload, Phone, Electricity, Water bills etc), Managing Fixed Deposits","Mobile/Telephone bills, Internet bills",I don’t engage in credit card related tasks using Mobile Banking Apps,I don’t engage in fixed deposit related tasks using Mobile Banking Apps,4,4,4,4,Female,27,Kurunegala ,Engineer,2,Bachelor’s Degree,"LinkedIn, Facebook, YouTube, Instagram, Whatsapp",3 hours
14/11/2020 04:49:29,Android,Savings accounts,1,2,Hardly,"Checking savings account balance, Paying bills (Eg. Mobile reload, Phone, Electricity, Water bills etc)","Mobile/Telephone bills, Internet bills",I don’t engage in credit card related tasks using Mobile Banking Apps,I don’t engage in fixed deposit related tasks using Mobile Banking Apps,4,4,4,4,Female,28,Galle,student,1,Bachelor’s Degree,"LinkedIn, Facebook, YouTube, Whatsapp",3 hours
26/11/2020 12:54:59,Android,"Savings accounts, Current Accounts, Fixed Deposits",4,2,Weekly,"Checking savings account balance, Transferirng money to other accounts, Paying bills (Eg. Mobile reload, Phone, Electricity, Water bills etc), Managing Fixed Deposits","Mobile/Telephone bills, Internet bills",I don’t engage in credit card related tasks using Mobile Banking Apps,"To view my existing fixed deposits, To open new fixed deposits, To settle matured fixed deposits",5,5,4,5,Male,29,Eheliyagoda,Shop Owner/Retail Assistant,2,Bachelor’s Degree,"Facebook, YouTube, Instagram, Whatsapp",4 hours or more
26/11/2020 12:59:54,Android,"Savings accounts, Credit Cards",2,2,Once a month,"Checking savings account balance, Checking credit card statement, Transferirng money to other accounts","Mobile/Telephone bills, Internet bills","To check my credit card balance, To check for credit card promotions",I don’t engage in fixed deposit related tasks using Mobile Banking Apps,4,4,4,3,Female,33,Ratnapura,Doctor,4,Bachelor’s Degree,"Facebook, YouTube",Less than 1 hour
